"NODE1","LONG1","LAT1","COUNTRY1","DETAIL","DATASTATUS","NODEID1","DATAID"
"loc72-tmc051117","30.5347","56.34","RU","?Wielkie Luki","exact","3094","tmcZWEm1300a_150a"
"loc73-tmc051117","30.194445","55.192501","BY","?Witebsk","exact","939","tmcZWEm1300a_150a"
"loc74-tmc051117","30.4053","54.5153","BY","?Orsha","exact","3078","tmcZWEm1300a_151a"
"loc75-tmc051117","30.33639","53.913891","BY","?Mogilev","exact","1435","tmcZWEm1300a_153a"","
"loc76-tmc051117","30.05","53.085","BY","?Rahachow","exact","3074","tmcZWEm1300a_154a"
"loc77-tmc051117","30.8","51.9333","BY","?Loyew","exact","3073","tmcZWEm1300a_155a"
"loc78-tmc051117","-.633333","45.75","FR","?Saintes","exact","909","tmcZWEm1300a_009a"
"loc79-tmc051117","-6.3833","39.7833","ES","?Canaveral","exact","3062","tmcZWEm1300a_013a"
"loc80-tmc051117","6.4","46.7667","FR","?Jougne","exact","2731","tmcZWEm1300a_045a"
"loc81-tmc051117","7.6","47.566666","CH","?Basel","exact","406","tmcZWEm1300a_049a"
"loc82-tmc051117","11.4","47.2667","AT","?Innsbruck","exact","2822","tmcZWEm1300a_058a"
"loc83-tmc051117","11.033333","50.983334","DE","?Erfurt","exact","1442","tmcZWEm1300a_065a"
"loc84-tmc051117","11.083333","49.450001","DE","?Nurnberg","exact","1448","tmcZWEm1300a_066a"
"loc85-tmc051117","6.05","44.4667","FR","?Tallard","exact","2748","tmcZWEm1300a_039a"
"loc86-tmc051117","6.733333","44.933334","IT","?Montgenevre Pass","exact","311","tmcZWEm1300a_040a"
"loc87-tmc051117","7.6667","45.05","IT","?Torino","exact","2728","tmcZWEm1300a_041a"
"loc88-tmc051117 ",".683333","47.383331","FR","?Tours","exact","475","tmcZWEm1300a_007a"
"loc89-tmc051117 ","-7.45","39.4167","ES","?Castelo de Vide","exact","3092","tmcZWEm1300a_017a"
"loc90-tmc051117 ","-8.2","39.4667","PT","?Abrantes","exact","3091","tmcZWEm1300a_017a"
"loc91-tmc051117","43.5375","48.6828","RU","?Kalach","exact","3093","tmcZWEm1300a_108a"
"loc92-tmc051117 ","36.116669","36.233334","TR","?Antakya","exact","1","tmcZWEm1300a_124a"
"loc93-tmc051117 ","35.933334","36.116669","TR","?Samandagi","exact","140","tmcZWEm1300a_124a"
"loc94-tmc051117","10.217","36.833","TN","?Tunis","exact","868","tmcZWEm1300a_136a"
"loc95-tmc051117 ","-5.8128","35.7847","MA","?Tanger","exact","3067","tmcZWEm1300a_140a"
"loc96-tmc051117 ","44.39389","33.338612","IQ","?Baghdad","exact","1635","tmcZWEm1300a_128a"
"loc97-tmc051117 ","40.7428","37.3111","TR","?Mardin","exact","2343","tmcZWEm1300a_121a"
"loc98-tmc051117 ","41.283333","39.916668","TR","?Erzurum","exact","238","tmcZWEm1300a_111a"
"loc99-tmc051117 ","36.2022","36.9539","TR","?Erzin","exact","2523","tmcZWEm1300a_118a,tmcZWEm1300a"""
"loc100-tmc051117","15.5667","38.1833","IT","?Messina","exact","2182","tmcZWEm1300a_217a"
"loc101-tmc051117","15.3","37.067","IT","?Syracuse","exact","928","tmcZWEm1300a_217a"
"loc102-tmc051117","19.919722","39.619999","GR","?Kerkira","exact","951","tmcZWEm1300a_227a"
"loc103-tmc051117","35.383331","45.033333","UA","?Caffa","exact","241","tmcZWEm1300a_248a"
"loc104-tmc051117","28.217","36.433","GR","?Rodhos","exact","138","tmcZWEm1300a_256a"
"loc105-tmc051117","33.95","35.125","CY","?Famagusta","exact","2498","tmcZWEm1300a_263a"
"loc106-tmc051117","23.6569","35.4939","GR","?Kastelli","exact","3075","tmcZWEm1300a_252a"
"London","-.116667","51.5","UK","nkn","exact","1475","tmcZWEm1300a_002a"
"Lubeck","10.7","53.866669","DE","nkn","exact","1452","tmcZWEm1300a_163a"
"Majorca","2.65","39.5667","ES","nkn","exact","2709","tmcZWEm1300a_199a"
"Marienburg","19.049999","54.033333","PL","nkn","exact","1032","tmcZWEm1300a_142a"
"Marseilles","5.4","43.299999","FR","nkn","exact","97","tmcZWEm1300a_210a"
"Milan","9.2","45.467","IT","nkn","exact","927","tmcZWEm1300a_041a"
"Montpellier","3.883333","43.599998","FR","nkn","exact","439","tmcZWEm1300a_033a"
"Naples","14.25","40.8333","IT","nkn","exact","2721","tmcZWEm1300a_200a"
"Narva","28.190277","59.37722","EE","nkn","exact","328","tmcZWEm1300a_156a"
"Novgorod","31.283333","58.516666","RU","nkn","exact","710","tmcZWEm1300a_147a"
"Paris","2.333333","48.866669","FR","nkn","exact","444","tmcZWEm1300a_051a"
"Pskov","28.333332","57.833332","RU","nkn","exact","712","tmcZWEm1300a_144a"
"Riga","24.1","56.950001","LV","nkn","exact","358","tmcZWEm1300a_157a"
"Rome","12.483333","41.900002","IT","nkn","exact","1441","tmcZWEm1300a_062a"
"Rostock","12.1333","54.0833","DE","nkn","exact","2811","tmcZWEm1300a_164a"
"sealoc01-tmc020328","21.75","57.9","LV","nkn","approx","1354","tmcZWEm1300a_158a"
"sealoc01-tmc050418","25.69548","33.78335","EG","nkn","approx","2439","tmcZWEm1300a_240a"
"sealoc01-tmc050503","14.9918","44.0957","HR","nkn","approx","2532","tmcZWEm1300a_234a"
"sealoc01-tmc051112","-1.66","36.5","ES","nkn","approx","3047","tmcZWEm1300a_198a"
"sealoc01-tmc051117","25.431231","59.831107","EE","nkn","approx","3095","tmcZWEm1300a_166a"
"sealoc02-tmc020328","18.25","55.08","PL","nkn","approx","1355","tmcZWEm1300a_160a"
"sealoc02-tmc050418","30.60695","34.7083","CY","nkn","approx","2440","tmcZWEm1300a_258a"
"sealoc02-tmc050503","15.9879","43.3766","HR","nkn","approx","2533","tmcZWEm1300a_232a"
"sealoc02-tmc051112","-5.53","35.95","ES","nkn","approx","3039","tmcZWEm1300a_201a"
"sealoc02-tmc051117","18.939711","58.902559","SE","nkn","approx","3096","tmcZWEm1300a_165a"
"sealoc03-tmc050418","31.723","42.1649","TR","nkn","approx","2455","tmcZWEm1300a_246a"
"sealoc03-tmc050503","16.94301711","42.89502219","HR","nkn","approx","2534","tmcZWEm1300a_232a"
"sealoc03-tmc051112","-9.24","36.57","ES","nkn","approx","3040","tmcZWEm1300a_195a"
"sealoc03-tmc051117","17.979695","56.859743","SE","nkn","approx","3096","tmcZWEm1300a_159a"
"sealoc04-tmc050503","19.24073043","40.63075","AL","nkn","exact","2550","tmcZWEm1300a_229a"
"sealoc04-tmc051112","-9.9","38.9","PT","nkn","approx","3049","tmcZWEm1300a_192a"
"sealoc04-tmc051117","19.031135","54.561573","PL","nkn","approx","3098","tmcZWEm1300a_160a"
"sealoc05-tmc050503","19.2158","40.4329","AL","nkn","approx","2535","tmcZWEm1300a_229a"
"sealoc05-tmc051112","-9.52","43.69","ES","nkn","approx","3041","tmcZWEm1300a_192a"
"sealoc05-tmc051117","10.985303","55.374057","DK","nkn","approx","3099","tmcZWEm1300a_168a"
"sealoc06-tmc050503","19.961487","39.82168","GR","nkn","exact","2551","tmcZWEm1300a_228a"
"sealoc06-tmc051112","-5.21","48.5","FR","nkn","approx","3042","tmcZWEm1300a_187a"
"sealoc06-tmc051117","11.213875","57.347235","SE","nkn","approx","3100","tmcZWEm1300a_170a"
"sealoc07-tmc051112","1.49","51","UK","nkn","approx","3043","tmcZWEm1300a_186a"
"sealoc07-tmc051117","10.162435","58.252571","SE","nkn","approx","3101","tmcZWEm1300a_170a"
"sealoc08-tmc051112","12.69","41.0955","IT","nkn","approx","3045","tmcZWEm1300a_215a"
"sealoc08-tmc051117","7.328109","57.370447","DK","nkn","approx","3102","tmcZWEm1300a_172a"
"sealoc09-tmc050503","20.2129","38.036","GR","nkn","approx","2537","tmcZWEm1300a_235a"
"sealoc09-tmc051112","6.09","42.67","FR","nkn","approx","3048","tmcZWEm1300a_209a"
"sealoc09-tmc051117","4.128063","58.368643","NO","nkn","approx","3103","tmcZWEm1300a_176a"
"sealoc10-tmc051112","3.74","41.83","ES","nkn","approx","3046","tmcZWEm1300a_212a"
"sealoc10-tmc051117","4.5096662","60.770554","NO","nkn","approx","3104","tmcZWEm1300a_175a"
"sealoc11-tmc051112","11.22","37.14","TN","nkn","exact","3050","tmcZWEm1300a_205a"
"sealoc11-tmc051117","4.975747","62.302939","NO","nkn","approx","3105","tmcZWEm1300a_175a"
"sealoc12-tmc050503","24.3885","37.4871","GR","nkn","approx","2540","tmcZWEm1300a_241a"
"sealoc12-tmc051117","6.870959","54.213367","DE","nkn","approx","3106","tmcZWEm1300a_177a"
"sealoc13-tmc050503","24.9812","37.6877","GR","nkn","approx","2541","tmcZWEm1300a_242a"
"sealoc13-tmc051112","32.68","34.48","CY","nkn","exact","3051","tmcZWEm1300a_259a"
"sealoc13-tmc051117","4.687521","53.366348","NL","nkn","approx","3107","tmcZWEm1300a_179a"
"sealoc14-tmc051112","33.98","34.84","CY","nkn","exact","3052","tmcZWEm1300a_261a"
"sealoc14-tmc051117","3.716629","51.984839","NL","nkn","approx","3108","tmcZWEm1300a_182a"
"sealoc15-tmc050503","25.7275","39.1672","GR","nkn","approx","2543","tmcZWEm1300a_243a"
"sealoc15-tmc051112","36.5","45.2435","UA","nkn","exact","3054","tmcZWEm1300a_248a"
"sealoc15-tmc051117","2.366947","51.397728","BE","nkn","approx","3109","tmcZWEm1300a_185a"
"sealoc16-tmc050503","26.333602","40.185728","TR","nkn","approx","2544","tmcZWEm1300a_244a"
"sealoc16-tmc051117","-1.906305","45.670679","FR","nkn","approx","3110","tmcZWEm1300a_187a"
"sealoc17-tmc051112","10.45","42.884","IT","nkn","exact","3056","tmcZWEm1300a_214a"
"sealoc17-tmc051117","-1.083441","45.554611","FR","nkn","approx","3111","tmcZWEm1300a_188a"
"sealoc18-tmc051117","-2.500601","43.906427","FR","nkn","approx","3112","tmcZWEm1300a_190a"
"sealoc19-tmc050503","27.3636","36.2389","GR","nkn","approx","2548","tmcZWEm1300a_254a"
"sealoc19-tmc051117","-1.437725","35.605037","MA","nkn","approx","3113","tmcZWEm1300a_201a"
"sealoc20-tmc051117","2.893763","37.197651","DZ","nkn","approx","3114","tmcZWEm1300a_203a"
"sealoc21-tmc050503","31.9913","35.7708","TR","nkn","exact","2510","tmcZWEm1300a_256a"
"sealoc21-tmc051117","10.23476","37.431579","TN","nkn","approx","3115","tmcZWEm1300a_205a"
"sealoc22-tmc051117","8.790987","38.706531","IT","nkn","approx","3116","tmcZWEm1300a_199a"
"sealoc23-tmc051117","7.396675","43.359498","FR","nkn","approx","3117","tmcZWEm1300a_209a"
"sealoc24-tmc051117","9.705283","42.885019","FR","nkn","approx","3118","tmcZWEm1300a_207a"
"sealoc25-tmc051117","15.722599","36.430047","IT","nkn","approx","3119","tmcZWEm1300a_222a"
"sealoc26-tmc051117","18.687895","40.431863","IT","nkn","approx","3120","tmcZWEm1300a_224a"
"sealoc27-tmc051117","16.288231","41.956467","IT","nkn","approx","3121","tmcZWEm1300a_225a"
"sealoc28-tmc051117","21.042591","36.431587","GR","nkn","approx","3122","tmcZWEm1300a_220a"
"sealoc29-tmc051117","23.034271","36.067403","GR","nkn","approx","3123","tmcZWEm1300a_241a"
"sealoc30-tmc051117","23.802299","35.77186","GR","nkn","approx","3124","tmcZWEm1300a_253a"
"sealoc31-tmc051117","37.088559","46.552803","RU","nkn","approx","3125","tmcZWEm1300a_250a"
"sealoc32-tmc051117","34.532676","27.759318","EG","nkn","approx","3126","tmcZWEm1300a_266a"
"sealoc33-tmc051117","35.185609","25.831587","EG","nkn","approx","3127","tmcZWEm1300a_264a"
"sealoc34-tmc051117","11.562041","54.341285","DE","nkn","approx","3128","tmcZWEm1300a_163a"
"sealoc35-tmc051117","16.082229","37.636332","IT","nkn","approx","3000","tmcZWEm1300a_219a"
"Siena","11.35","43.3167","IT","nkn","exact","2727","tmcZWEm1300a_061a"
"Tripoli","35.85","34.4333","LB","nkn","exact","2070","tmcZWEm1300a_263a"
"Tripolis","13.18","32.892502","LY","nkn","exact","774","tmcZWEm1300a_221a"
"Valencia","-.3667","39.4667","ES","nkn","exact","2707","tmcZWEm1300a_213a"
"Venice","12.326667","45.43861","IT","nkn","exact","323","tmcZWEm1300a_059a"
"Visby","18.299999","57.633331","SE","nkn","exact","338","tmcZWEm1300a_165a"
"Worcester","-2.2","52.2","UK","nkn","exact","3059","tmcZWEm1300a_003a"
"xrd01-tmc051117","7.75","48.5833","FR","?Strasbourg","exact","2791","tmcZWEm1300a_050a"
"xrd02-tmc051117","37.166668","36.200001","SY","?Aleppo","exact","231","tmcZWEm1300a_118a"
"York","-1.0833","53.9667","UK","nkn","exact","3058","tmcZWEm1300a_001a"


