"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Corfu","GR","sealoc09-tmc050503","GR","E. of Kefalonia; 'Alexandria' & 'Beirut' & 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","19.919722","39.619999","ADL2249054","20.2129","38.036","OWT","951","2537","P000","tmcXMEm1400_058a"
"sealoc09-tmc050503","GR","Modon","GR","E. of Kefalonia; 'Alexandria' & 'Beirut' & 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","20.2129","38.036","OWT","21.7","36.8167","www.fallingrain.com","2537","2528","P000","tmcXMEm1400_059a"
"Modon","GR","Coron","GR","'Alexandria' & 'Beirut' & 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","21.7","36.8167","www.fallingrain.com","21.95","36.8","www.fallingrain.com","2528","2530","P000","tmcXMEm1400_060a"
"Coron","GR","sealoc10-tmc050503","GR","Cape Matapan; 'Alexandria' & 'Beirut' & 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","21.95","36.8","www.fallingrain.com","22.5189","36.3504","OWT","2530","2538","P000","tmcXMEm1400_061a"
"sealoc10-tmc050503","GR","Candia","GR","Cape Matapan; 'Alexandria' & 'Beirut' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","22.5189","36.3504","OWT","25.1306","35.325","www.fallingrain.com","2538","2531","P000","tmcXMEm1400_062a"
"Candia","GR","sealoc12-tmc051112","GR","E of Crete; 'Alexandria' route (Venice - Alexandria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","25.1306","35.325","www.fallingrain.com","26.437","35.41","OWT","2531","3053","P000","tmcXMEm1400_063a"
"sealoc12-tmc051112","GR","Alexandria","EG","'Alexandria' route (Venice - Alexandria - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","26.437","35.41","OWT","29.9","31.2","TGN","3053","114","P000","tmcXMEm1400_064a"
"Candia","GR","Rhodes","GR","'Beirut' route (Venice - Beirut - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","25.1306","35.325","www.fallingrain.com","28.217","36.433","TGN7011265","2531","138","P000","tmcXMEm1400_065a"
"Rhodes","GR","sealoc13-tmc051112","CY","SW of Cyprus; 'Beirut' route (Venice - Beirut - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","28.217","36.433","TGN7011265","32.68","34.48","OWT","138","3051","P000","tmcXMEm1400_066a"
"sealoc13-tmc051112","CY","sealoc14-tmc051112","CY","SW of Cyprus; S of Famagusta; 'Beirut' route (Venice - Beirut - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","32.68","34.48","OWT","33.98","34.84","OWT","3051","3052","P000","tmcXMEm1400_067a"
"sealoc14-tmc051112","CY","Famagusta","CY","S of Famagusta; 'Beirut' route (Venice - Beirut - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","33.98","34.84","OWT","33.95","35.125","www.fallingrain.com","3052","2498","P000","tmcXMEm1400_068a"
"Famagusta","CY","Beirut","LB","'Beirut' route (Venice - Beirut - Venice)","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","33.95","35.125","www.fallingrain.com","35.509724","33.871944","ADL2694488","2498","29","P000","tmcXMEm1400_069a"
"sealoc10-tmc050503","GR","sealoc11-tmc050503","GR","Cape Matapan; Cape Malea; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","22.5189","36.3504","OWT","23.2238","36.4172","OWT","2538","2539","P000","tmcXMEm1400_070a"
"sealoc11-tmc050503","GR","Negroponte","GR","Cape Malea; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1500","QC4","Spufford 2002:398","23.2238","36.4172","OWT","23.6","38.466667","ADL2249121","2539","700","P000","tmcXMEm1400_071a"
"Negroponte","GR","sealoc16-tmc050503","TR","Dardanelles; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","23.6","38.466667","ADL2249121","26.333602","40.185728","OWT","700","2544","P000","tmcXMEm1400_072a"
"sealoc16-tmc050503","TR","Constantinople","TR","Dardanelles; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","26.333602","40.185728","OWT","28.966667","41.016666","ADL4087473","2544","71","P000","tmcXMEm1400_073a"
"Constantinople","TR","sealoc15-tmc051112","UA","E of Caffa; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","28.966667","41.016666","ADL4087473","36.5","45.2435","OWT","71","3054","P000","tmcXMEm1400_074a"
"sealoc15-tmc051112","TR","Tana","RU","E of Caffa; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","36.5","45.2435","OWT","39.413612","47.110001","ADL3471037","3054","280","P000","tmcXMEm1400_075a"
"sealoc15-tmc051112","TR","Trebizond","TR","E of Caffa; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","36.5","45.2435","OWT","39.716667","41","ADL4106147","3054","168","P000","tmcXMEm1400_076a"
"Trebizond","TR","Sinope","TR","'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","39.716667","41","ADL4106147","35.150002","42.016666","ADL4103362","168","715","P000","tmcXMEm1400_077a"
"Sinope","TR","sealoc17-tmc050503","TR","W of Sinope; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","35.150002","42.016666","ADL4103362","32.9133","42.1182","OWT","715","2545","P000","tmcXMEm1400_078a"
"sealoc17-tmc050503","TR","Constantinople","TR","W of Sinope; 'Romania & Black Sea' route","trd","sl","maj","A000","B000","C000","nkn","d000dd","gal","t000t","1400","1452","QC4","Spufford 2002:398 & 404","32.9133","42.1182","OWT","28.966667","41.016666","ADL4087473","2545","71","P000","tmcXMEm1400_079a"
