NODE1,COUNTRY1,NODE2,COUNTRY2,DETAIL,USES,TYPE,ROLE,GOODS1,GOODS2,GOODS3,DIR,DIST,TRAVMODE,TRAVTIME,EARLYDATE,LATEDATE,DATAQLTY,SRC,LONG1,LAT1,COORDSRC1,LONG2,LAT2,COORDSRC2,NODEID1,NODEID2,PROBL,DATAID
Wuwei,CN,Pingliang,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,102.800003,37.966667,adlgaz-1-1616671-6e,106.686111,35.539165,ADL1624295,91,980,P000,tmcZCAm1000a_011a
Pingliang,CN,Xian,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,106.686111,35.539165,ADL1624295,108.935547,34.260277,adlgaz-1-1636913-76,980,175,P000,tmcZCAm1000a_012a
Wuwei,CN,Lanzhou,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,102.800003,37.966667,adlgaz-1-1616671-6e,103.792221,36.056389,adlgaz-1-1615874-2a,91,85,P000,tmcZCAm1000a_013a
Lanzhou,CN,Dingxi,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,103.792221,36.056389,adlgaz-1-1615874-2a,104.620003,35.583332,ADL1603223,85,978,P000,tmcZCAm1000a_014a
Dingxi,CN,Pingliang,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,104.620003,35.583332,ADL1603223,106.686111,35.539165,ADL1624295,978,980,P000,tmcZCAm1000a_015a
Zhangye,CN,Xining,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,100.449997,38.933334,ADL1645287,101.76667,36.616669,ADL1639832,182,258,P000,tmcZCAm1000a_016a
loc01-tmc010507,CN,Lanzhou,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,102.833344,36.333332,ADL1600134,103.792221,36.056389,adlgaz-1-1615874-2a,974,85,P000,tmcZCAm1000a_017a
loc01-tmc010507,CN,Tianshui,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,102.833344,36.333332,ADL1600134,105.717499,34.583611,ADL1633541,974,982,P000,tmcZCAm1000a_018a
Tianshui,CN,Baoji,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,105.717499,34.583611,ADL1633541,107.158058,34.383057,ADL1596679,982,977,P000,tmcZCAm1000a_019a
Baoji,CN,Xian,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,107.158058,34.383057,ADL1596679,108.935547,34.260277,adlgaz-1-1636913-76,977,175,P000,tmcZCAm1000a_020a
loc07-tmc010205,CN,Turpan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,91.599998,43.466667,adlgaz-1-1625438-02,89.1,42.917,TGN7001479,613,170,P000,tmcZCAm1000a_021a
Turpan,CN,Loulan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,89.1,42.917,TGN7001479,89.75,40.533333,ADL1618975,170,92,P000,tmcZCAm1000a_022a
Loulan,CN,frk01-tmc010205,CN,N Loulan;NE Dunguang;SW Ruoqiang,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,89.75,40.533333,ADL1618975,88.833336,39.25,ADL1621529,92,103,P000,tmcZCAm1000a_023a
frk01-tmc010205,CN,Dunhuang,CN,N Loulan;NE Dunguang;SW Ruoqiang,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,88.833336,39.25,ADL1621529,94.683334,40.166668,ADL1604560,103,50,P000,tmcZCAm1000a_024a
frk01-tmc010205,CN,Ruoqiang,CN,N Loulan;NE Dunguang;SW Ruoqiang,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,88.833336,39.25,ADL1621529,88,39.033333,ADL1626883,103,139,P000,tmcZCAm1000a_025a
Ruoqiang,CN,Qiemo,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,88,39.033333,ADL1626883,85.533333,38.133331,ADL1625388,139,697,P000,tmcZCAm1000a_026a
Qiemo,CN,Hetian,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,85.533333,38.133331,ADL1625388,79.9166,37.1166,Rigby 1984,697,68,P000,tmcZCAm1000a_027a
Hetian,CN,Yecheng,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,79.9166,37.1166,Rigby 1984,77.433334,37.900002,ADL1642727,68,983,P000,tmcZCAm1000a_028a
Yecheng,CN,Kashi,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,77.433334,37.900002,ADL1642727,76.033,39.483,TGN,983,77,P000,tmcZCAm1000a_029a
Kashi,CN,loc08-tmc010205,KG,mod Osh;mod Sari-tash,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,76.033,39.483,TGN,73.25,39.733334,ADL2609546,77,615,P000,tmcZCAm1000a_030a
loc04-tmc010205,KG,loc08-tmc010205,KG,mod Sari-tash,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,72.800003,40.533333,ADL2609455,73.25,39.733334,ADL2609546,117,615,P000,tmcZCAm1000a_031a
Kashi,CN,Taxkorgan,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,76.033,39.483,TGN,75.23333,37.783333,ADL1633245,77,164,P000,tmcZCAm1000a_032a
Turpan,CN,Kurle,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,89.1,42.917,TGN7001479,86.150002,41.733334,ADL1615350,170,88,P000,tmcZCAm1000a_033a
Loulan,CN,Kurle,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,89.75,40.533333,ADL1618975,86.150002,41.733334,ADL1615350,92,88,P000,tmcZCAm1000a_034a
Kuche,CN,Kurle,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,82.900002,41.716667,ADL1615547,86.150002,41.733334,ADL1615350,89,88,P000,tmcZCAm1000a_035a
Kuche,CN,Aksu,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,82.900002,41.716667,ADL1615547,80.23333,41.25,ADL1635907,89,174,P000,tmcZCAm1000a_036a
loc01-tmc010206,KG,Aksu,CN,mod Bishkek,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,74.599998,42.900002,ADL2608195,80.23333,41.25,ADL1635907,530,174,P000,tmcZCAm1000a_037a
Kashi,CN,Aksu,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,76.033,39.483,TGN,80.23333,41.25,ADL1635907,77,174,P000,tmcZCAm1000a_038a
Xining,CN,loc01-tmc010507,CN,nkn,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,101.76667,36.616669,ADL1639832,102.833344,36.333332,ADL1600134,258,974,P000,tmcZCAm1000a_039a
loc01-tmc040120,CN,Taxkorgan,CN,Kunjerab Pass,trd,cd,maj,A000,B000,C000,nkn,d000dd,nkn,t000t,1,1400,QC4,Anonymous-4 1991,75.449997,36.866669,ADL3251380,75.23333,37.783333,ADL1633245,82,164,P000,tmcZCAm1000a_040a
