NODE1,LONG1,LAT1,COUNTRY1,DETAIL,DATASTATUS,NODEID1,DATAID
sealoc22-tmc050503,34.6929,35.7123,CY,nkn,approx,2549,tmcTRm1300_169a
sealoc23-tmc050503,29.9,31.2,EG,nkn,approx,114,tmcTRm1300_171a
Serres,23.5497,41.0856,GR,nkn,exact,2472,tmcTRm1300_024a
Sibiu,24.15,45.8,RO,nkn,exact,490,tmcTRm1300_050a
Silistra,27.283,44.1,BG,nkn,exact,968,tmcTRm1300_046a
Sinop,35.150002,42.016666,TR,nkn,exact,715,tmcTRm1300_123a
Sivas,37.033333,39.75,TR,nkn,exact,717,tmcTRm1300_126a
Skopje,21.467,42,MK,nkn,exact,922,tmcTRm1300_011a
Sofia,23.316668,42.683334,BG,nkn,exact,901,tmcTRm1300_006a
Split,16.467,43.517,HR,nkn,exact,917,tmcTRm1300_138a
Suceava,26.3,47.617,RO,nkn,exact,486,tmcTRm1300_053a
Tabriz,46.291943,38.080002,IR,nkn,exact,240,tmcTRm1300_090a
Tatar-Pazarjik,24.3333,42.2,BG,nkn,exact,2461,tmcTRm1300_007a
Tergovishte,25.45,44.9333,RO,nkn,exact,2491,tmcTRm1300_049a
Tokat,36.5544,40.3139,TR,nkn,exact,2215,tmcTRm1300_088a
Trebizond,39.716667,41,TR,nkn,exact,168,tmcTRm1300_129a
Tripoli,35.85,34.4333,LB,nkn,exact,2070,tmcTRm1300_113a
Trnovo,25.6556,43.0858,BG,nkn,exact,2516,tmcTRm1300_070a
Urfa,38.766666,37.133331,TR,nkn,exact,172,tmcTRm1300_109a
Venice,12.326667,45.43861,IT,nkn,exact,323,tmcTRm1300_135a
Yenisehir,22.4203,39.6372,GR,nkn,exact,2480,tmcTRm1300_033a
